id,isReviewed,order,isInfo,pageType,exptID,FileName,Type,Caption,Description,KeyRefs,Credit
78,1,0,1,site,rothamsted,history,html,History of Rothamsted Experimental station,,,eRA curators
80,0,0,0,site,rothamsted,index,html,Rothamsted Experimental Station,,,eRA curators
79,1,0,0,site,rothamsted,overview,html,Overview of the Rothamsted experimental station,,,eRA curators
82,1,0,0,site,rothamsted,site,html,The Rothamsted site,,,eRA curators
81,1,0,0,site,rothamsted,summary,html,Summary,,,eRA curators
85,1,0,1,experiment,rpg5,harvesting,html,Harvesting methods,"how yield has been measured and important changes in harvesting methods over the years, including yield correction factor",KeyRefPGharv,eRA curators
86,0,0,0,experiment,rpg5,index,html,index,,,eRA curators
87,1,0,1,experiment,rpg5,links,html,Links,related to Park Grass,,eRA curators
88,0,0,0,experiment,rpg5,medialist,html,List of Media,This is included at the top of the Media page to list media that is not in the media database like Videos,,eRA curators
89,0,0,0,experiment,rpg5,parkgrass-history,html,Park Grass history,,,eRA curators
83,1,0,1,experiment,rpg5,pgcomposition1,html,Botanical composition,Information about the botanical surveys,KeyRefPGComposition,eRA curators
92,1,0,1,experiment,rpg5,pgsoils,html,Soil properties,Information about soil chemical and physical properties,KeyRefPGsoils,eRA curators
91,1,1,1,experiment,rpg5,plans,html,Plans and treatments,"Plans, fertilizer treatments and liming details for the Park Grass experiment",,eRA curators
90,1,0,1,experiment,rpg5,plot-photos,php,Park Grass Plots,A photographic journey into the Park Grass Experiment,,eRA curators
94,0,0,0,experiment,rrn1,index,html,index,,,eRA curators
95,1,0,1,experiment,rrn1,metagenomic,html,New data from old samples,Metagenomic study,,eRA curators
96,0,0,0,experiment,rrn2,index,html,index,,,eRA curators
97,0,0,0,experiment,rro,index,html,index,,,eRA curators
98,0,0,0,experiment,rrs1,index,html,index,,,eRA curators
99,0,0,0,experiment,rrs9,index,html,index,,,eRA curators
100,1,0,1,experiment,rsa,index,html,About the Rothamsted Sample Archive,,,eRA curators
101,0,0,0,experiment,rwf3,index,html,index,,,eRA curators
102,1,0,1,site,saxmundham,experiments,html,Experiments done at Saxmundham,,,eRA curators
103,1,0,1,site,saxmundham,history,html,History of the Saxmundham Station,,,eRA curators
105,0,0,0,site,saxmundham,index,html,Saxmundham Station,,,eRA curators
104,1,0,0,site,saxmundham,overview,html,Overview of the Saxmundham Experimental Site,,,eRA curators
107,1,0,0,site,saxmundham,site,html,The Saxmundham site,,,eRA curators
106,1,0,0,site,saxmundham,summary,html,Summary,,,eRA curators
108,0,0,0,experiment,sms,index,html,index,,,eRA curators
109,1,0,1,experiment,sms,measurements,html,Measuring the weather at Saxmundham,,,eRA curators
110,1,0,0,experiment,sms,overview,html,Overview of the Woburn Weather Station,,,eRA curators
111,0,0,0,experiment,srn1,index,html,index,,,eRA curators
112,0,0,0,experiment,srn2,index,html,index,,,eRA curators
114,0,0,0,experiment,wcs10,index,html,index,,,eRA curators
115,1,1,1,experiment,wcs10,plans,html,Plans and treatments,,,eRA curators
116,0,0,0,experiment,wcs326,index,html,index,,,eRA curators
117,0,0,0,experiment,wcs427,index,html,index,,,eRA curators
118,0,0,0,experiment,wcs428,index,html,index,,,eRA curators
119,0,0,0,experiment,wcs439,index,html,index,,,eRA curators
120,0,0,0,experiment,wcs478,index,html,index,,,eRA curators
121,0,0,0,experiment,wms,index,html,index,,,eRA curators
122,1,0,1,experiment,wms,measurements,html,Measuring the weather at at Woburn,,,eRA curators
123,1,0,0,experiment,wms,overview,html,Overview of the Saxmundham Weather Station,,,eRA curators
124,1,0,1,site,woburn,experiments,html,Experiments done at Woburn,,,eRA curators
125,1,0,1,site,woburn,history,html,History of the Woburm Station,,,eRA curators
129,0,0,0,site,woburn,index,html,Woburn Station,,,eRA curators
126,1,0,0,site,woburn,overview,html,Overview,,,eRA curators
128,1,0,0,site,woburn,site,html,The Woburn site,,,eRA curators
127,1,0,0,site,woburn,summary,html,Summary,,,eRA curators
130,0,0,0,experiment,wrn12,index,html,index,,,eRA curators
131,0,0,0,experiment,wrn13,index,html,index,,,eRA curators
133,0,0,0,experiment,wrn3,index,html,index,,,eRA curators
134,1,1,1,experiment,wrn3,plans,html,Plans and treatments,,,eRA curators
135,0,0,0,experiment,wrn4,index,html,index,,,eRA curators
137,1,1,1,experiment,wxb6,plans,html,Plans and treatments,,,eRA curators
139,1,1,1,experiment,wxw6,plans,html,Plans and treatments,,,eRA curators
